Steps,Policy/Entropy,Policy/Learning Rate,Policy/Extrinsic Value Estimate,Policy/Extrinsic Reward,Environment/Cumulative Reward,Environment/Episode Length
10000,1.4189383,0.00029925007,0.13584113,-0.18888889418707955,-0.18888889418707955,268.05555555555554
20000,1.4198412,0.00029775008,0.48854482,-0.03777778148651123,-0.03777778148651123,215.46666666666667
30000,1.4205849,0.0002962501,0.68188,-0.07500000412647541,-0.07500000412647541,191.09615384615384
40000,1.4219123,0.0002947501,0.77534074,0.08688524316568844,0.08688524316568844,162.59016393442624
50000,1.4229236,0.00029325008,0.7702834,0.18382352765868692,0.18382352765868692,144.55882352941177
60000,1.4231101,0.0002917501,0.7347357,-0.031343287496424434,-0.031343287496424434,145.26865671641792
70000,1.4231132,0.00029025011,0.68241453,0.09518071973180196,0.09518071973180196,118.43373493975903
80000,1.4227568,0.0002887501,0.6216465,0.17558139285375907,0.17558139285375907,113.87209302325581
90000,1.4229991,0.0002872501,0.59879464,0.13815789316829882,0.13815789316829882,128.3684210526316
100000,1.4250326,0.0002857501,0.5893299,0.1943820205967078,0.1943820205967078,109.02247191011236
110000,1.4270579,0.0002842501,0.4853092,0.08791208529210352,0.08791208529210352,107.16483516483517
120000,1.4282064,0.0002827501,0.39829338,0.20752687992588167,0.20752687992588167,105.53763440860214
130000,1.4287312,0.0002812501,0.34745258,0.09699999690055847,0.09699999690055847,98.46
140000,1.4291867,0.0002797501,0.24891281,0.16224489528305677,0.16224489528305677,99.91836734693878
150000,1.4296491,0.0002782501,0.2431988,0.11145833010474841,0.11145833010474841,101.70833333333333
160000,1.4295149,0.0002767501,0.19347994,0.10495049174469297,0.10495049174469297,96.32673267326733
170000,1.4291643,0.0002752501,0.18178621,0.1978260848833167,0.1978260848833167,106.05434782608695
180000,1.4289733,0.00027375008,0.18812391,0.2927835036798851,0.2927835036798851,101.6082474226804
190000,1.428372,0.0002722501,0.18505831,0.18288287923142715,0.18288287923142715,88.1981981981982
200000,1.4279275,0.00027075008,0.17049873,0.2564356409677184,0.2564356409677184,96.57425742574257
210000,1.4275694,0.0002692501,0.18035373,0.22365591090212586,0.22365591090212586,104.3010752688172
220000,1.426703,0.00026775012,0.17141303,0.1769230732550988,0.1769230732550988,93.1923076923077
230000,1.4266039,0.0002662501,0.15719314,0.29509803711199295,0.29509803711199295,96.84313725490196
240000,1.426085,0.0002647501,0.14763421,0.24571428298950196,0.24571428298950196,93.53333333333333
250000,1.4255053,0.00026325008,0.18000887,0.3019999980926514,0.3019999980926514,97.36
260000,1.4248902,0.0002617501,0.22373898,0.3429824542580989,0.3429824542580989,85.60526315789474
270000,1.425074,0.00026025012,0.17423174,0.30438596219347236,0.30438596219347236,85.64912280701755
280000,1.4261582,0.0002587501,0.19602253,0.3560975586495748,0.3560975586495748,79.36585365853658
290000,1.4256363,0.0002572501,0.20324273,0.39999999831208083,0.39999999831208083,86.63716814159292
300000,1.4262055,0.0002557501,0.18615414,0.27295081634990503,0.27295081634990503,79.87704918032787
310000,1.4270908,0.0002542501,0.22407377,0.3101694886967287,0.3101694886967287,82.65254237288136
320000,1.4283762,0.00025275012,0.2190762,0.30476190173436724,0.30476190173436724,77.22222222222223
330000,1.4274104,0.0002512501,0.2082195,0.46818181709809736,0.46818181709809736,88.10909090909091
340000,1.4269757,0.0002497501,0.2444876,0.39579831752456535,0.39579831752456535,82.5798319327731
350000,1.4270818,0.00024825011,0.25550044,0.3435483844049515,0.3435483844049515,78.88709677419355
360000,1.427425,0.0002467501,0.26515576,0.4206349187427097,0.4206349187427097,77.45238095238095
370000,1.4271448,0.0002452501,0.22145316,0.35118109973396844,0.35118109973396844,76.93700787401575
380000,1.4265454,0.0002437501,0.2593732,0.4249999980131785,0.4249999980131785,80.775
390000,1.4259216,0.00024225011,0.24746315,0.29696969371853454,0.29696969371853454,73.73484848484848
400000,1.426144,0.00024075012,0.21531269,0.28425196493704485,0.28425196493704485,77.37795275590551
410000,1.4267482,0.00023925013,0.22457844,0.32015503561773967,0.32015503561773967,75.63565891472868
420000,1.4268006,0.00023775012,0.19110845,0.38159999752044677,0.38159999752044677,78.168
430000,1.4267467,0.00023625011,0.23233806,0.3391999969482422,0.3391999969482422,78.088
440000,1.4271054,0.00023475013,0.24734236,0.43257575595017633,0.43257575595017633,73.68939393939394
450000,1.4278421,0.00023325012,0.22889455,0.36343283350787947,0.36343283350787947,72.85074626865672
460000,1.4281092,0.00023175013,0.23890154,0.40879999828338626,0.40879999828338626,78.072
470000,1.4277761,0.00023025012,0.25609934,0.42598425027892345,0.42598425027892345,76.69291338582677
480000,1.4278048,0.00022875013,0.24246639,0.3492307662963867,0.3492307662963867,75.61538461538461
490000,1.4284188,0.00022725013,0.25043327,0.3452173886091813,0.3452173886091813,84.90434782608696
500000,1.4285127,0.00022575012,0.24796288,0.36559999752044675,0.36559999752044675,77.616
510000,1.428384,0.00022425012,0.2588577,0.39022556193789143,0.39022556193789143,73.83458646616542
520000,1.4285696,0.00022275011,0.21836598,0.25970148862297854,0.25970148862297854,72.26119402985074
530000,1.4292479,0.00022125013,0.21711478,0.31538461171663723,0.31538461171663723,75.6923076923077
540000,1.429847,0.00021975012,0.16706344,0.3650406482743054,0.3650406482743054,79.48780487804878
550000,1.4309165,0.00021825013,0.16414535,0.37359999752044676,0.37359999752044676,77.184
560000,1.4312209,0.00021675015,0.17919461,0.3992537286744189,0.3992537286744189,73.29850746268657
570000,1.4307699,0.00021525011,0.1993168,0.3852713154267895,0.3852713154267895,75.78294573643412
